"entrezgene","sample_1","sample_2","sample_3"
268935,4.64167385903762,3.71376153119689,4.47457657570692
268936,3.96133527888867,4.21764266989158,4.24501961435714
268949,4.53127742319181,4.25533214423744,3.58382911664227
268958,0,0,0
268970,6.71007527399629,6.50818692899512,6.34773975561768
268973,1.58341474047793,0.817439796216526,0.662917753179601
268977,5.76270011929623,5.76834778549666,5.21033754629499
268980,4.94345066760503,5.23600065808012,5.11982669391178
268996,6.80838816136748,6.84275261670054,6.60201388054973
269003,6.44590590653593,6.19448749842884,6.02427329675433
269016,2.23020418491709,1.12070008933347,1.76409443537746
269019,3.14057345191907,3.2261230917826,3.34138129583741
269023,4.8645914025184,4.62891951396989,4.88019808500262
269033,4.20553060712427,4.79959770845417,4.60915152316494
269037,7.46381191621845,7.75866023116657,7.5036143413874
269053,0,0,0
269060,3.36484281838657,2.22244122380881,2.46692816692828
269061,5.78905338996168,5.33637808532644,6.15592685988835
269063,0,0,0
269109,0,0,0
269113,4.84169375624084,5.44625274669786,5.26219355557306
269116,0.630198338699471,0.143468670506363,0.616707954159001
269120,2.57329041368909,1.74969684363168,2.12928420500822
269132,3.60798064649483,3.03748749491456,2.49362736390374
269152,5.85691617479729,5.2593609146449,5.78252807316034
269180,3.69211469978158,3.52833639256301,3.74030075427213
269181,3.07470026034638,3.25742337835127,2.95939987367757
269198,4.40065962015736,4.84806455309428,4.8759867073927
269209,3.65802136906132,4.30756166884452,4.16032195215596
269224,4.14853434001827,3.56942356047327,4.2222102455866
269233,5.44146157950654,5.2077692564568,4.7985266690908
269252,5.05626227420224,5.02373227295739,4.95687561830689
269254,5.32544872526001,5.35121338720275,5.42147738734356
269261,11.2673119481699,10.9608452230033,10.6048044435532
269275,0,0,0
269295,1.51834022664316,2.1887484506019,0.931901278646417
269328,0,0,0
269336,3.66972659427469,3.66192320761088,4.18004382969128
269338,5.22942741434658,5.19407037130193,5.37332991252408
269344,3.25153841663968,2.88591525239728,3.21717594174945
269346,0,0,0
269356,2.62057857966024,2.72621450735082,2.75079809118539
269378,5.38471736552446,5.8918676054179,6.18473972167836
269389,0.768067349638977,1.22763826147864,0
269397,4.36977789027161,5.0284722548533,5.19730972181426
269400,4.70911714145393,5.19481780632538,4.74835783367623
269401,6.24903643330178,6.05030171292927,6.33892016409177
269423,3.6388600646415,3.337963945301,3.52803925356118
269424,4.49593920551838,3.7708434284869,4.45921704791047
269437,1.83769659751134,1.31934721025083,1.06340906723576
269470,4.05135262370253,3.97024438081193,4.19894379613138
269473,4.55131364923311,4.93181587271257,5.14409989364276
269513,7.01815127528967,6.52636112383512,6.64774784800274
269514,3.94343888546513,4.53193597010742,3.87977547877071
269523,7.69113933927787,7.93311256611057,7.74879262523126
269529,4.55386704791407,4.48943558604641,4.25241980606771
269536,5.01692724381743,5.42553240104518,5.4627342748217
269582,4.39181176754954,4.69125679656325,3.92731871545237
269585,2.60174388092899,2.22575647160323,2.79165467937113
269587,5.86300321636642,6.07234411505297,5.59815188938749
269589,0,1.11192274040131,1.5727659962092
269593,5.95689481069068,5.8320560328411,5.55607698522364
269604,8.95430085823066,9.50187273081416,9.52651710606282
269608,3.80212505313772,3.86231851410762,3.54952643961486
269610,1.38020392989489,1.52756017602306,0.971258709455179
269614,4.93237921944747,5.19397182954029,5.25106434875619
269615,0.742896513567156,0.567647019538686,0.409157253289467
269623,4.92888944630439,4.39804470806105,4.67740467859574
269629,0.286119409220487,0.877662470824789,0
269633,5.45464493958829,5.76775063680916,5.48068979182821
269637,0,0,0
269639,5.68727969228101,5.88258469768237,5.50922302389406
269642,0,0.229122869247279,0
269643,0,0,0
269682,4.9068319114338,5.24786081567239,4.9688614551764
269693,2.18227975932505,1.98371696208546,1.84166342513854
269695,3.67864912764224,3.6424109355815,3.6169791364003
269702,4.03221588648644,4.0200919641439,4.34550096273717
269704,6.45799339956807,6.7390365406414,6.80080476369417
269713,4.37864018584919,3.56060947235153,4.09318700800605
269717,3.05706556457239,3.76337814488054,3.45710658422167
269774,5.36653246022069,5.21822833181184,5.22218069293556
269784,2.47560393860541,2.73203483663959,2.44414453923948
269788,3.68498936894128,4.24214223225368,3.23596786777952
269799,4.01909857027254,3.04607094887714,2.44465159594726
269800,5.15664218979595,4.89204649825586,4.6956533550619
269823,4.08130365498193,3.56776789979993,3.9449471641471
269831,2.10777142528531,1.89060863907199,2.70608385469354
269854,4.54307940980561,5.22906056983974,3.81104791076179
269855,2.51069764408097,0.841085936379711,0.853932094582068
269862,0,0,0
269870,3.63508205978381,3.32399255223764,3.35004744650027
269878,4.76216610560904,4.86709174140642,4.8294576923367
269881,2.53169461714346,2.2027047074378,2.92931080673062
269902,1.7099161012132,1.20205866699506,1.86948480302225
269941,6.71100804429977,6.47569371246857,6.61349502777126
269951,7.47344983219321,7.13606276338534,7.42004298564308
269952,6.19487248070679,6.46200659926445,5.88211204851052
269954,0.300705168321409,1.68335522119933,0.293549209604605
269955,4.20434075488004,5.00652911272712,4.50869350992129
269959,1.90603495105237,3.37988006444185,3.66065030181498
269966,5.7564037211533,5.58631725304259,5.59015784806024
269994,2.67838527037026,2.23971567138716,2.50461333147986
269997,4.51951683054544,4.88124656414265,4.84631060070532
269999,5.15577430034323,5.02206949600205,4.97839412308087
270004,0,0,0
270028,0.401366286528105,0.385293078378578,0
270035,2.82011820188133,2.62681964395319,3.23084213190447
270049,0,0,0
270058,4.15257601080931,3.46099742618038,3.51622134093734
270066,7.74071426003362,8.36090936774085,8.47089692610713
270076,5.13296145778311,4.5876681906163,4.72004102951767
270084,3.86475454753195,4.28901779905563,4.03155500089763
270086,4.27082346928864,4.54705072926387,4.39451357441948
270091,0.453130399634207,0,0
270096,4.26051932744369,4.38370671063874,3.61085294449088
270097,2.28272066305982,2.9568435805144,2.51231538046948
270106,11.1900287588671,11.268356608981,11.45325691568
270109,0,0,0
270110,6.06659192750228,5.96057712064345,6.16727011160915
270118,4.79975967749428,4.77400519036277,4.37829372394439
270120,4.11634662702069,3.64610518803671,3.87427038213582
270150,0,0.789757784835816,1.6918095510459
270151,3.15854929238569,3.31375381132065,2.52048660399963
270152,0.5356551196071,1.19362560392809,0.523839537711099
270156,5.15049822240154,5.42693855773212,5.30057204788351
270160,0,1.0940701785842,0.825231130939598
270162,0,0.409377329406584,0.416575288888847
