"entrezgene","sample_1","sample_2","sample_3"
11993,62,61,89
11994,44,10,23
11997,0,0,1
11998,0,0,0
12000,0,0,2
12005,85,86,73
12006,130,123,116
12007,0,0,0
12009,43,35,31
12010,186,265,317
12012,0,0,2
12013,57,71,50
12014,395,386,282
12015,18,40,30
12017,93,93,81
12018,44,60,68
12020,0,0,0
12021,49,64,55
12022,8,2,9
12023,0,0,1
12028,31,36,28
12029,49,66,60
12032,0,0,0
12033,22,26,30
12034,146,136,144
12035,5,20,8
12036,40,33,35
12038,46,44,51
12039,11,18,15
12040,117,134,81
12041,235,284,287
12042,29,36,41
12043,871,711,730
12044,0,3,2
12045,0,3,1
12046,0,0,1
12047,0,2,3
12048,47,43,57
12049,0,0,0
12050,83,92,65
12051,7,15,19
12053,9,20,14
12054,28,14,14
12055,136,112,112
12057,20,33,21
12061,0,0,0
12062,1,0,0
12064,12,2,10
12068,39,33,27
12069,85,107,84
12070,197,177,184
12075,0,7,2
12091,59,59,27
12095,6,9,12
12096,0,0,12
12097,0,0,1
12111,1403,1501,1221
12116,0,1,0
12121,15,20,22
12122,51,43,23
12123,213,223,158
12124,0,2,1
12125,269,308,214
12140,6,37,14
12142,59,24,28
12143,0,0,0
12144,121,138,97
12145,8,8,10
12151,123,94,104
12153,353,408,404
12154,0,0,0
12155,0,1,2
12156,52,60,36
12159,157,131,173
12160,6,10,7
12161,28,25,14
12162,48,15,22
12163,0,0,0
12164,382,291,250
12165,0,0,0
12166,521,493,439
12167,4,6,6
12168,357,413,333
12169,6,25,16
12173,6,0,1
12175,306,299,334
12176,42,28,36
12177,213,228,184
12180,0,4,1
12181,57,43,36
12182,0,1,0
12183,71,59,65
12189,88,117,94
12190,181,171,142
12192,398,462,480
12193,99,75,69
12209,0,0,0
12211,1111,1225,890
12212,606,547,416
12215,158,172,210
12217,25,21,34
12223,1,0,3
12224,14,7,15
12226,338,322,334
12227,12,33,18
12228,38,51,27
12229,0,2,2
12231,1,3,0
12234,165,184,125
12235,125,135,106
12236,116,157,117
12237,152,162,127
12238,76,69,79
12257,11,11,10
12258,43,50,61
12259,5,2,2
12260,10,29,19
12261,115,89,85
12262,15,18,21
12263,3,1,1
12265,10,22,12
12266,1,1,2
12267,25,30,21
12268,2,4,6
12269,0,0,0
12273,1,5,5
12274,1,2,0
12279,1,0,0
12282,244,207,234
12283,116,143,81
12286,16,13,18
12287,3,7,6
12288,365,402,349
12289,161,85,103
12290,16,23,8
12291,697,715,617
12292,2,0,0
12293,228,309,225
12294,47,7,13
12295,15,26,26
12296,38,26,12
12297,141,122,99
12298,37,37,21
12299,0,1,0
12300,0,0,0
12301,76,97,68
12304,217,295,188
12305,33,46,60
12306,546,597,550
12307,0,0,0
12308,0,0,1
12309,0,1,0
12310,1,0,0
12311,0,1,0
12313,737,853,727
12314,665,786,542
12315,194,226,212
12316,364,413,270
12317,450,597,673
12319,12,4,8
12321,709,1008,801
12322,35,40,50
12323,3,5,8
12325,108,113,91
12326,747,957,1083
12328,43,37,49
12330,590,795,534
12331,206,261,173
12332,15,8,18
12333,17,6,14
12334,324,322,269
12335,2,1,3
12336,469,480,421
12337,25,38,16
12338,963,870,847
12339,250,263,218
12340,270,299,270
12343,189,240,166
12344,0,0,0
12345,286,297,289
12346,0,0,0
12348,16,15,24
12349,19,21,12
12350,0,0,5
12351,0,0,0
12352,209,257,213
12353,0,0,0
12354,0,1,0
12355,23,29,15
12359,254,258,226
12361,300,301,207
12362,2,2,2
12363,5,4,12
12364,1,2,0
12365,0,0,0
12366,155,145,125
12367,54,60,44
12368,34,15,17
12369,47,42,43
12370,72,86,55
12371,64,45,40
12372,0,9,9
12373,0,0,0
12374,0,0,0
12380,70,82,65
12385,471,483,497
12386,16,38,25
12387,1403,1556,959
12388,686,690,565
12389,168,199,213
12390,21,26,29
12391,0,0,0
12393,195,138,117
12394,173,97,115
12395,490,249,357
12396,219,205,179
12398,28,47,32
12399,111,89,125
12400,314,360,245
12401,0,0,0
12402,240,253,185
12404,0,0,1
12405,0,0,0
12406,515,503,496
12408,42,55,43
12409,12,7,17
12411,1,3,0
12412,198,224,213
12416,68,92,71
12417,621,668,475
12418,36,38,31
12419,1211,1588,953
12421,253,284,196
12424,0,0,0
12425,30,17,12
12426,0,1,2
12427,5,4,2
12428,379,548,279
12442,76,122,70
12443,223,258,171
12444,1196,1087,970
12445,373,387,371
12447,28,35,32
12448,52,85,55
12449,71,68,84
12450,119,136,106
12452,46,85,75
12453,362,323,244
12454,112,136,119
12455,129,164,124
12457,39,39,26
12458,0,0,1
12460,30,31,52
12461,354,405,320
12462,183,187,200
12464,220,281,207
12465,312,371,298
12466,343,325,267
12467,1,1,1
12468,289,361,339
12469,277,373,312
12475,1,4,0
12476,54,60,64
12477,0,0,0
12478,1,2,0
12479,25,55,37
12480,15,30,20
12481,0,0,0
12482,0,0,0
12483,127,141,124
12484,231,341,209
12487,0,1,0
12488,303,363,328
12489,382,375,357
12490,209,200,176
12491,2,3,6
12492,34,24,25
12493,5,11,9
12494,228,201,161
12495,133,118,88
12496,3,4,0
12497,17,34,20
12499,38,37,33
12500,90,99,75
12501,0,0,0
12502,0,0,0
12503,67,80,65
12504,6,5,6
12505,207,251,186
12506,1,3,2
12507,3,1,2
12508,2,7,8
12509,50,45,38
12511,0,0,1
12512,225,246,246
12514,27,18,32
12515,0,0,0
12516,0,0,0
