"entrezgene","sample_1","sample_2","sample_3"
11989,0,5,8
11990,215,399,1070
11991,8724,2460,2991
11992,91,85,206
11993,16,62,166
11994,35,28,90
11997,0,0,1
11998,0,0,0
12000,0,5,2
12005,14,127,291
12006,56,110,389
12007,0,0,0
12009,12,37,210
12010,566,425,577
12012,2,1,4
12013,62,88,161
12014,405,417,670
12015,8,56,112
12017,111,155,564
12018,41,87,203
12020,0,0,0
12021,31,79,131
12022,0,7,36
12023,3,0,0
12028,17,55,63
12029,19,137,165
12032,3,0,0
12033,64,24,35
12034,44,185,590
12035,17,24,75
12036,5,52,128
12038,116,85,78
12039,3,22,57
12040,64,108,176
12041,109,284,502
12042,23,80,152
12043,20031,852,4170
12044,4,4,2
12045,2,3,0
12046,0,3,0
12047,4,8,0
12048,9,59,124
12049,3,1,0
12050,26,128,281
12051,2,13,24
12053,8,16,31
12054,9,27,67
12055,33,125,471
12057,23,20,38
12061,0,2,3
12062,2,0,4
12064,2,8,33
12068,48,85,89
12069,24,169,285
12070,72,235,622
12075,0,6,21
12091,15,81,121
12095,21,8,6
12096,6,2,5
12097,6,0,2
12111,2746,1951,8296
12116,0,0,2
12121,13,18,13
12122,5,57,90
12123,11338,257,107
12124,0,2,5
12125,9129,425,470
12140,32,38,98
12142,8,10,175
12143,4,0,1
12144,73,124,303
12145,6,11,1
12151,131,129,517
12153,65,498,1081
12154,13,0,0
12155,0,1,1
12156,47,68,228
12159,8214,163,309
12160,6,5,7
12161,3,14,172
12162,2,8,174
12163,0,0,0
12164,2879,381,29
12165,1,0,2
12166,623,625,1451
12167,1,5,18
12168,378,482,1947
12169,11,16,45
12173,0,1,4
12175,327,441,971
12176,15,62,65
12177,164,350,688
12180,6,13,9
12181,16,53,131
12182,0,3,3
12183,50,111,260
12189,52,116,521
12190,135,189,521
12192,297,668,1400
12193,104,129,132
12209,1,0,10
12211,535,1546,2786
12212,1091,616,489
12215,66,277,1130
12217,98,40,123
12223,1,3,0
12224,9,18,59
12226,370,527,478
12227,17,32,64
12228,67,69,91
12229,6,4,11
12231,3,2,19
12234,72,179,452
12235,51,181,419
12236,47,192,617
12237,129,201,585
12238,65,169,207
12257,1,24,18
12258,41,102,117
12259,0,3,1
12260,6,42,30
12261,71,104,268
12262,11,16,88
12263,1,0,17
12265,18,10,56
12266,6,0,13
12267,51,33,43
12268,8,22,7
12269,0,0,1
12273,4,21,7
12274,8,1,11
12279,2,1,0
12282,22,291,831
12283,89,181,357
12286,10,17,51
12287,24,6,42
12288,96,539,1213
12289,67,96,223
12290,17,60,69
12291,119,712,2420
12292,3,0,5
12293,467,436,333
12294,1,14,23
12295,4,43,125
12296,31,31,50
12297,50,130,684
12298,29,46,31
12299,0,2,1
12300,0,0,1
12301,143,107,157
12304,139,366,1071
12305,9,46,131
12306,139,899,2240
12307,0,0,0
12308,1,0,1
12309,0,1,6
12310,0,1,0
12311,4,1,1
12313,624,1044,2902
12314,1389,1019,2015
12315,45,292,799
12316,193,437,1409
12317,180,792,1884
12319,16,32,31
12321,573,1389,2190
12322,52,38,251
12323,1,9,8
12325,74,143,336
12326,1222,1113,913
12328,31,38,141
12330,493,978,2107
12331,104,286,769
12332,1,12,55
12333,2,11,53
12334,170,389,1476
12335,0,6,8
12336,403,609,2182
12337,12,39,111
12338,593,1093,4212
12339,196,322,715
12340,262,409,905
12343,150,324,351
12344,0,0,0
12345,137,376,1135
12346,1,0,4
12348,9,17,72
12349,9,35,81
12350,0,1,2
12351,0,0,2
12352,172,263,252
12353,0,0,4
12354,0,0,0
12355,8,36,45
12359,2341,390,1366
12361,168,370,839
12362,1,2,4
12363,5,7,6
12364,21,10,3
12365,6,0,4
12366,88,212,325
12367,25,49,83
12368,10,38,44
12369,37,67,129
12370,131,114,303
12371,44,67,200
12372,1,1,77
12373,7,10,7
12374,12,1,5
12380,60,88,267
12385,410,653,1514
12386,43,52,159
12387,1163,2471,4239
12388,361,951,1976
12389,279,414,585
12390,25,44,33
12391,0,2,3
12393,105,214,316
12394,174,201,190
12395,367,362,923
12396,156,309,571
12398,8,36,86
12399,490,89,79
12400,313,460,579
12401,9,0,2
12402,109,218,625
12404,0,0,0
12405,0,2,4
12406,101,681,3028
12408,12,73,168
12409,4,9,5
12411,0,5,37
12412,146,281,778
12416,10,110,276
12417,1165,879,1221
12418,37,47,71
12419,468,1815,3678
12421,300,334,627
12424,0,0,0
12425,76,12,34
12426,1,1,2
12427,5,11,9
12428,283,544,1240
12442,45,118,416
12443,78,282,808
12444,334,1167,4029
12445,22,449,1062
12447,14,66,161
12448,104,89,97
12449,9,104,299
12450,129,193,304
12452,67,73,191
12453,160,397,1061
12454,102,166,485
12455,53,183,687
12457,31,36,74
12458,3,0,1
12460,9,53,118
12461,408,547,1730
12462,104,240,905
12464,121,356,874
12465,187,453,1299
12466,304,528,1618
12467,0,2,4
12468,132,400,1472
12469,380,403,1058
12475,1,4,3
12476,39,88,196
12477,0,1,1
12478,1,6,1
12479,26,72,95
12480,5,30,62
12481,0,0,1
12482,1,0,1
12483,942,148,275
12484,364,331,1152
12487,2,4,1
12488,382,422,662
12489,1667,370,1557
12490,32,332,514
12491,6,14,6
12492,7,32,157
12493,1,7,25
12494,153,205,389
12495,164,160,363
12496,3,1,3
12497,5,39,83
12499,2,48,86
12500,432,83,239
12501,2,0,0
12502,1,1,1
12503,74,131,147
12504,16,9,11
12505,167,307,1116
12506,11,1,8
12507,3,0,4
12508,26,5,12
12509,53,74,122
12511,0,2,0
12512,58,345,693
12514,7,20,62
12515,4,0,0
12516,0,0,1
12517,11,32,50
12518,3,2,5
12519,6,0,7
12520,140,984,1584
12521,3,27,70
12522,13,9,10
12523,71,80,69
12524,0,3,12
12525,23,10,3
12526,34,39,80
12527,24,64,79
12530,32,113,334
12531,28,84,238
12532,21,70,242
12534,41,156,311
12537,111,210,1041
12539,29,156,550
12540,366,979,1495
12544,12,63,154
12545,103,167,247
12549,116,344,826
12550,6,10,38
12552,2949,3933,8701
12554,22,21,74
12555,0,7,4
12556,2,0,0
12557,10,1,5
12558,137,364,1124
12560,13,63,50
12561,3,4,13
12562,191,599,2133
12563,12,40,122
12564,5,15,17
12565,2,2,6
12566,32,111,202
12567,93,607,1227
12568,5,68,142
12569,3,11,18
12570,0,0,1
12571,21,61,206
12572,334,796,1184
12575,10,13,24
12576,29,100,148
12577,624,1262,2679
12578,0,0,0
12579,0,0,1
12580,5,14,46
12581,26,70,122
12583,407,530,1095
12585,25,107,287
12587,0,3,6
12589,68,148,365
12590,3,0,1
12591,0,0,0
12592,0,0,1
12593,48,65,61
12606,2,8,25
12607,112,191,365
12608,1,2,2
12609,30,29,21
12611,50,201,486
12613,0,2,3
12614,14,55,112
12615,52,142,281
12616,10,120,233
12617,147,163,406
12622,276,67,52
12623,5,0,0
12626,232,218,457
12627,0,0,1
12628,13,17,12
12630,0,1,1
12631,314,479,2440
12632,113,206,280
12633,746,1222,1735
12638,6,7,19
12640,0,0,0
12642,3,11,2
12643,2,3,7
12647,95,25,21
12648,173,447,1023
12649,84,90,175
12651,16,100,244
12652,1,0,6
12653,1,0,10
12654,1,2,0
12655,5,0,2
12659,5,9,12
12660,610,842,797
12661,44,47,77
12662,122,132,294
12663,47,41,67
12667,4,33,26
12669,15,7,13
12671,0,2,0
12672,13,10,7
12675,79,151,168
12677,0,0,1
12683,0,0,2
12684,3,3,27
12686,0,0,0
12695,7,77,264
12696,3,44,110
12700,1,27,45
12702,15,16,55
12703,2,3,10
12704,12,58,313
12705,0,3,4
12709,0,19,53
12715,4,0,4
12716,0,4,23
12721,5,35,46
12722,44,39,83
12723,0,2,13
12724,40,130,256
12725,32,87,99
12727,29,112,170
12728,29,69,173
12729,121,244,848
12733,0,0,0
12737,147,177,82
12738,3,1,7
12739,0,1,0
12740,1,1,10
12741,9,35,115
12745,2,2,13
12747,664,808,1263
12748,71,185,650
12750,168,322,573
12751,210,172,350
12752,8,24,96
12753,100,212,465
12757,159,274,778
12759,13,26,119
12763,2628,912,513
12764,102,102,351
12765,1005,990,1409
12766,0,1,2
12767,7,11,37
12768,7,5,2
12769,11,10,16
12770,3,0,0
12771,1,0,0
12772,28,21,11
12773,415,36,6
12774,8,5,1
12775,8,0,9
12776,0,0,1
12777,0,1,3
12778,35,52,70
12780,0,10,8
12785,1105,1319,1919
12788,0,0,0
12789,13,3,2
12790,43,25,24
12793,160,161,208
12794,2,16,120
12795,0,13,26
12796,0,0,0
12797,1,3,6
12798,63,443,888
12799,28,61,160
12801,5,2,8
12802,177,276,210
12803,0,17,15
12804,15,14,36
12805,62,10,33
12807,466,648,896
12808,67,98,291
12810,13,12,24
12812,9,36,134
12813,6,25,37
12814,528,882,859
12815,6,9,19
12816,638,1211,804
12817,5,7,15
12818,157,433,859
12819,35,174,406
12821,10,25,90
12822,29,167,488
12823,3,3,4
12824,28,63,318
12825,4774,7254,23596
12826,401,1125,3179
12827,427,1143,3777
12828,3,0,9
12829,1,0,7
12830,33,57,54
12831,440,1373,3389
12832,725,955,1916
12833,263,1065,3533
12834,371,1273,5868
12836,19,34,323
12837,565,292,2312
12839,9,5,7
12840,8,79,198
12841,18,29,60
12842,1270,2635,9225
12843,3184,4978,10806
12845,2,5,12
12846,258,353,733
12847,463,1262,2928
12848,252,319,562
12850,34,29,86
12854,0,4,7
12856,26,24,43
12857,43,367,676
12858,56,99,179
12859,153,167,394
12861,73,201,517
12862,0,2,0
12864,64,102,257
12865,0,0,1
12866,60,95,215
12867,153,316,345
12868,59,149,390
12869,0,0,4
12870,12,7,15
12873,59,13,19
12874,147,369,609
12876,308,116,217
12877,2,1,0
12879,35,20,86
12889,1,0,1
12890,12666,1538,1223
12891,2,0,2
12892,136,167,247
12894,69,135,386
12895,1,3,16
12896,10,53,143
