"entrezgene","sample_1","sample_2","sample_3"
11989,28,5,4
11990,642,365,192
11991,2289,2843,1508
11992,245,126,62
11993,227,110,57
11994,19,18,1
11997,3,2,0
11998,1,0,0
12000,6,3,0
12005,398,138,56
12006,674,239,83
12007,0,0,0
12009,184,48,41
12010,393,525,259
12012,6,0,2
12013,105,79,41
12014,487,380,228
12015,151,98,46
12017,557,331,161
12018,185,75,47
12020,1,0,0
12021,114,69,39
12022,837,246,99
12023,3,2,0
12028,72,67,42
12029,95,65,20
12032,2,0,0
12033,34,45,31
12034,614,459,204
12035,281,166,92
12036,167,60,29
12038,34,48,24
12039,77,35,12
12040,136,170,87
12041,488,396,262
12042,99,98,54
12043,548,436,187
12044,0,21,4
12045,1,20,1
12046,0,4,0
12047,0,31,3
12048,111,84,35
12049,0,0,0
12050,302,94,69
12051,22,15,16
12053,29,41,18
12054,82,36,14
12055,325,213,70
12057,33,38,15
12061,5,1,0
12062,1,1,0
12064,8,2,2
12068,75,88,67
12069,348,248,127
12070,657,514,210
12075,15,10,4
12091,166,104,58
12095,5,7,11
12096,2,1,1
12097,0,1,1
12111,4869,2394,1049
12116,0,0,0
12121,16,6,3
12122,85,63,46
12123,79,251,111
12124,0,2,2
12125,277,370,195
12140,16,7,7
12142,16,9,6
12143,0,0,0
12144,249,133,95
12145,3,17,10
12151,242,144,73
12153,1140,548,291
12154,0,0,0
12155,0,0,0
12156,124,68,36
12159,151,167,50
12160,40,31,11
12161,228,88,55
12162,123,33,30
12163,3,1,1
12164,23,285,226
12165,1,0,0
12166,1057,706,458
12167,11,1,13
12168,1343,588,266
12169,1,5,0
12173,1,2,0
12175,564,576,248
12176,163,139,86
12177,619,423,167
12180,2,1,6
12181,161,115,50
12182,0,7,0
12183,197,204,51
12189,404,134,118
12190,388,219,112
12192,1119,519,226
12193,151,205,122
12209,0,0,0
12211,2585,1663,1056
12212,371,686,404
12215,1749,674,234
12217,133,39,32
12223,0,1,2
12224,25,21,5
12226,383,582,294
12227,54,31,17
12228,66,58,46
12229,5,6,0
12231,5,3,2
12234,367,240,97
12235,334,180,110
12236,787,239,140
12237,461,266,159
12238,225,212,109
12257,29,22,8
12258,60,37,24
12259,10,7,0
12260,67,39,17
12261,352,305,195
12262,54,44,12
12263,1,0,1
12265,26,11,15
12266,27,2,1
12267,41,58,24
12268,5,20,11
12269,0,0,0
12273,12,13,10
12274,4,2,0
12279,3,0,0
12282,860,280,167
12283,253,190,110
12286,41,26,13
12287,19,5,4
12288,1176,446,232
12289,178,143,52
12290,53,76,36
12291,2294,852,425
12292,6,0,0
12293,1008,1077,604
12294,10,13,6
12295,143,43,29
12296,26,27,24
12297,275,126,36
12298,51,27,30
12299,2,0,0
12300,2,0,0
12301,194,181,91
12304,1084,409,217
12305,120,60,20
12306,2143,1554,725
12307,0,0,0
12308,0,0,0
12309,5,1,3
12310,11,12,2
12311,3,2,0
12313,2194,1401,631
12314,1263,1132,711
12315,1159,460,229
12316,880,447,210
12317,2368,1271,496
12319,43,28,23
12321,2564,1693,1063
12322,44,16,11
12323,17,13,6
12325,407,186,93
12326,622,1235,698
12328,82,81,33
12330,2047,1108,791
12331,717,397,181
12332,22,21,6
12333,69,19,18
12334,952,343,154
12335,23,3,2
12336,1202,556,206
12337,47,23,12
12338,5532,2478,1404
12339,517,341,206
12340,766,468,259
12343,271,352,197
12344,0,0,0
12345,825,472,210
12346,0,0,0
12348,57,24,6
12349,30,62,4
12350,76,35,19
12351,0,0,0
12352,187,279,158
12353,4,0,0
12354,0,0,1
12355,32,37,18
12359,806,560,253
12361,982,702,334
12362,2,7,2
12363,2,4,1
12364,1,7,0
12365,0,0,0
12366,319,240,109
12367,72,80,34
12368,43,21,16
12369,121,73,28
12370,191,131,62
12371,176,64,30
12372,57,6,4
12373,14,3,3
12374,0,0,0
12380,238,111,46
12385,941,687,278
12386,60,57,19
12387,3638,2387,1823
12388,1798,955,514
12389,268,306,83
12390,13,20,8
12391,4,1,0
12393,5348,2351,1377
12394,803,626,342
12395,891,457,230
12396,541,327,184
12398,30,11,6
12399,179,188,88
12400,778,715,490
12401,0,0,0
