"entrezgene","sample_1","sample_2","sample_3"
11988,889,536,640
11989,4,4,1
11990,906,385,334
11991,3513,1806,2696
11992,202,68,70
11993,150,160,104
11994,125,143,142
11997,1,2,0
11998,0,0,0
12000,9,1,3
12005,203,134,108
12006,297,173,157
12007,0,0,0
12009,148,44,38
12010,587,232,406
12012,2,0,0
12013,137,68,88
12014,610,309,431
12015,65,66,86
12017,699,69,271
12018,132,134,99
12020,0,0,0
12021,136,60,41
12022,1161,661,315
12023,0,3,1
12028,70,54,53
12029,150,73,67
12032,5,1,0
12033,58,12,34
12034,613,219,326
12035,96,57,40
12036,91,47,52
12038,99,34,54
12039,18,59,29
12040,240,153,180
12041,459,392,385
12042,150,66,99
12043,1204,620,519
12044,3,1,16
12045,4,2,18
12046,0,0,0
12047,5,3,18
12048,88,111,65
12049,0,0,0
12050,181,85,88
12051,9,6,19
12053,22,25,23
12054,44,28,41
12055,389,196,170
12057,33,41,27
12061,0,0,1
12062,0,0,0
12064,34,13,3
12068,115,12,112
12069,389,97,227
12070,681,298,407
12075,24,3,3
12091,157,115,76
12095,4,13,7
12096,0,2,0
12097,0,1,0
12111,5961,2238,2083
12116,1,0,0
12121,41,12,12
12122,89,46,52
12123,134,418,298
12124,10,0,2
12125,403,511,397
12140,71,12,23
12142,36,11,21
12143,1,0,0
12144,295,117,103
12145,6,10,16
12151,621,78,154
12153,675,657,545
12154,0,0,0
12155,0,0,2
12156,111,83,65
12159,546,284,294
12160,65,15,23
12161,27,44,15
12162,46,32,23
12163,2,0,0
12164,27,206,379
12165,3,0,0
12166,1559,454,723
12167,50,19,12
12168,2279,426,560
12169,4,2,1
12173,0,0,2
12175,1060,193,582
12176,118,40,129
12177,737,277,319
12180,19,1,7
12181,153,152,84
12182,8,7,6
12183,383,73,149
12189,500,57,133
12190,558,107,199
12192,968,856,724
12193,229,97,195
12209,0,0,0
12211,2735,1373,1674
12212,442,683,772
12215,974,458,352
12217,107,51,40
12223,4,0,8
12224,11,6,9
12226,841,214,462
12227,34,43,44
12228,103,31,60
12229,12,6,13
12231,24,1,1
12234,360,210,238
12235,487,91,208
12236,589,193,257
12237,503,192,296
12238,285,45,185
12257,14,21,20
12258,68,50,53
12259,7,5,6
12260,41,53,45
12261,258,181,233
12262,79,41,28
12263,5,5,2
12265,45,18,13
12266,30,7,0
12267,44,52,48
12268,12,9,15
12269,3,0,0
12273,25,18,24
12274,4,0,0
12279,0,0,0
12282,601,453,316
12283,332,162,228
12286,55,24,15
12287,14,5,7
12288,1126,640,584
12289,115,101,112
12290,207,179,166
12291,1237,1241,712
12292,15,0,1
12293,1373,293,766
12294,5,7,6
12295,84,100,59
12296,100,40,26
12297,529,233,91
12298,62,21,36
12299,2,1,0
12300,4,0,0
12301,183,58,156
12304,890,248,360
12305,86,67,50
12306,1387,777,1293
12307,6,0,0
12308,10,0,0
12309,1,1,1
12310,0,0,0
12311,6,0,0
12313,2974,713,1342
12314,2377,625,1253
12315,587,515,381
12316,1078,197,375
12317,1633,872,1212
12319,59,11,27
12321,2390,1025,1784
12322,87,18,19
12323,13,9,4
12325,329,175,119
