"entrezgene","sample_1","sample_2","sample_3"
11991,2316,1406,1557
11992,177,77,62
11993,118,66,58
11994,787,61,102
11997,0,0,0
11998,0,0,0
12000,3,0,1
12005,94,66,69
12006,277,84,68
12007,0,0,0
12009,79,17,22
12010,738,250,177
12012,0,1,0
12013,202,41,40
12014,435,206,241
12015,30,38,26
12017,413,89,101
12018,62,54,45
12020,0,0,0
12021,112,42,47
12022,490,170,175
12023,3,0,0
12028,63,28,21
12029,171,44,33
12032,1,0,0
12033,57,28,27
12034,317,115,121
12035,7,50,40
12036,44,19,22
12038,210,31,38
12039,10,20,12
12040,187,88,109
12041,439,184,222
12042,106,50,33
12043,842,260,182
12044,3,1,2
12045,6,4,7
12046,0,0,0
12047,3,1,3
12048,71,39,36
12049,2,3,0
12050,106,59,69
12051,8,9,7
12053,49,12,10
12054,35,17,24
12055,336,73,74
12057,71,24,13
12061,4,0,3
12062,0,0,0
12064,11,5,11
12068,112,38,42
12069,151,127,103
12070,433,212,159
12075,11,1,4
12091,116,40,67
12095,6,6,5
12096,1,0,1
12097,0,0,0
12111,8693,1131,991
12116,1,0,0
12121,36,5,12
12122,76,32,37
12123,114,138,121
12124,0,0,1
12125,422,215,182
12140,32,16,6
12142,37,9,16
12143,2,0,0
12144,153,67,87
12145,2,7,5
12151,459,55,44
12153,426,306,270
12154,4,0,0
12155,1,0,0
12156,88,36,16
12159,2521,135,124
12160,8,23,32
12161,20,34,7
12162,60,19,19
12163,6,0,0
12164,49,227,277
12165,0,0,0
12166,1831,376,361
12167,27,4,5
12168,1936,257,277
12169,16,4,2
12173,22,0,1
12175,989,220,257
12176,74,59,61
12177,741,194,154
12180,25,3,2
12181,104,55,27
12182,0,0,1
12183,234,80,54
12189,428,49,83
12190,518,109,106
12192,598,460,286
12193,222,123,102
12209,0,0,0
12211,2285,802,1000
12212,524,451,423
12215,703,169,162
12217,65,17,25
12223,0,0,1
12224,63,9,4
12226,661,287,249
12227,46,15,18
12228,93,44,53
12229,8,4,2
12231,10,3,0
12234,239,84,115
12235,374,79,100
12236,406,119,126
12237,509,83,102
12238,197,54,89
12257,13,15,2
12258,51,23,32
12259,0,3,2
12260,56,19,12
12261,220,104,88
12262,61,13,9
12263,5,1,3
12265,26,11,18
12266,15,0,0
12267,59,23,27
12268,13,3,6
12269,1,0,0
12273,8,12,7
12274,9,0,2
12279,0,0,0
12282,402,145,164
12283,360,99,127
12286,94,8,10
12287,18,4,6
12288,851,274,399
12289,306,48,95
12290,280,51,99
12291,660,422,474
12292,17,0,0
12293,1253,508,618
12294,175,3,21
12295,34,43,30
12296,82,32,23
12297,351,56,60
12298,66,26,14
12299,5,0,1
12300,6,0,0
12301,268,65,49
12304,648,161,210
12305,59,39,25
12306,846,441,411
12307,2,0,0
12308,2,0,0
12309,0,1,3
12310,1,2,0
12311,0,1,1
12313,2707,620,572
12314,3636,496,584
12315,318,237,165
12316,1089,152,225
12317,2403,543,480
12319,29,8,5
12321,2837,864,978
12322,50,12,17
12323,18,1,2
12325,197,88,79
12326,823,709,674
12328,97,28,23
12330,2054,492,630
12331,337,157,157
12332,7,8,8
12333,15,17,19
12334,1054,163,242
12335,12,2,3
12336,1980,342,322
12337,48,16,19
12338,3866,969,705
12339,724,140,173
12340,948,223,210
12343,334,187,197
12344,0,0,0
12345,868,216,191
12346,0,0,0
12348,19,17,5
12349,53,18,14
12350,6,0,4
12351,0,0,0
12352,218,162,174
12353,6,0,0
12354,1,1,0
12355,41,23,13
12359,3996,254,235
12361,930,282,258
12362,22,0,1
12363,2,2,3
12364,1,3,0
12365,9,0,0
12366,254,149,115
12367,80,39,39
12368,51,14,15
12369,109,32,32
12370,415,56,57
12371,80,36,38
12372,21,1,4
12373,19,0,2
12374,3,0,0
12380,253,40,50
12385,1000,269,292
12386,16,21,10
12387,3321,1297,1422
12388,1187,489,500
12389,793,151,170
12390,78,7,15
12391,0,0,2
12393,298,676,463
12394,321,258,204
12395,2604,221,384
12396,406,170,190
12398,40,14,19
12399,148,95,104
12400,649,398,351
12401,1,0,0
12402,596,131,162
12404,1,0,0
12405,2,0,2
12406,1742,437,472
12408,166,38,30
12409,16,3,8
12411,3,6,3
12412,631,168,159
12416,103,52,42
12417,1666,534,595
12418,53,24,23
12419,2014,925,1092
12421,861,141,182
12424,0,0,0
12425,46,9,6
12426,6,0,0
12427,5,1,0
12428,1353,249,317
12442,510,64,40
12443,890,193,321
12444,2768,454,636
12445,476,267,233
12447,99,21,26
12448,203,52,46
12449,156,47,59
12450,434,113,116
12452,163,48,34
12453,873,237,202
12454,353,115,71
12455,440,102,118
12457,46,30,29
12458,1,0,0
12460,45,44,24
12461,1279,313,330
12462,566,174,166
12464,660,237,250
12465,832,295,286
12466,878,289,332
12467,5,0,0
12468,767,211,279
12469,917,200,312
12475,2,5,2
12476,101,65,32
12477,2,0,0
12478,2,0,0
12479,102,53,39
12480,39,14,12
12481,0,0,0
12482,0,0,0
12483,222,116,89
12484,357,125,88
12487,3,0,0
12488,873,186,231
12489,1483,285,270
12490,231,61,106
12491,14,10,6
12492,56,28,14
12493,18,2,5
12494,430,145,126
12495,679,68,69
12496,0,2,0
12497,43,31,26
12499,48,34,31
12500,136,74,64
12501,1,0,0
12502,3,0,0
12503,210,59,50
12504,15,17,5
12505,135,84,82
12506,6,0,0
12507,1,0,0
12508,28,10,8
12509,64,27,24
12511,0,0,0
12512,571,223,248
12514,50,28,26
12515,1,0,0
12516,2,0,0
12517,39,16,21
12518,6,0,0
12519,4,0,1
12520,699,572,597
12521,18,16,20
12522,4,0,1
12523,65,49,62
12524,13,2,3
12525,4,3,7
12526,52,38,31
12527,68,36,35
12530,199,54,51
12531,99,47,50
12532,141,38,36
12534,201,45,94
12537,756,104,140
12539,287,98,96
12540,1273,590,474
12544,93,31,33
12545,269,63,121
12549,475,207,204
12550,12,16,3
12552,5443,2055,1713
12554,51,5,19
12555,5,1,1
12556,0,0,0
12557,21,1,4
12558,675,312,224
12560,75,3,15
12561,430,16,66
12562,927,258,213
12563,347,23,40
12564,113,11,42
12565,1,1,2
12566,139,55,74
12567,565,321,350
12568,79,20,27
12569,12,8,4
12570,8,0,0
12571,344,40,62
12572,1043,525,537
12575,18,7,11
12576,130,55,48
12577,2540,1057,851
12578,0,0,0
12579,2,1,0
