"entrezgene","sample_1","sample_2","sample_3"
11991,2205,3384,2277
11992,79,97,99
11993,79,118,110
11994,53,97,112
11997,0,1,0
11998,0,0,0
12000,6,3,3
12005,91,125,139
12006,146,145,170
12007,0,0,0
12009,45,83,34
12010,405,352,320
12012,2,3,0
12013,96,65,85
12014,393,463,434
12015,32,39,51
12017,151,163,181
12018,97,43,69
12020,0,1,0
12021,57,30,71
12022,10,9,3
12023,0,0,0
12028,55,38,75
12029,42,61,48
12032,2,0,0
12033,35,36,22
12034,199,195,210
12035,57,47,42
12036,47,34,42
12038,40,25,24
12039,19,10,20
12040,130,130,145
12041,327,310,307
12042,47,65,61
12043,516,608,650
12044,7,15,1
12045,12,10,2
12046,0,1,0
12047,10,12,1
12048,85,73,91
12049,0,2,0
12050,88,83,80
12051,25,10,16
12053,21,21,16
12054,33,25,23
12055,151,145,145
12057,23,44,31
12061,0,0,0
12062,0,0,0
12064,6,4,6
12068,36,33,86
12069,156,186,176
12070,335,369,311
12075,3,5,7
12091,42,50,64
12095,5,12,8
12096,1,1,1
12097,1,1,1
12111,3450,2946,2265
12116,0,0,0
12121,9,4,1
12122,43,27,58
12123,245,247,438
12124,0,2,2
12125,283,361,466
12140,7,9,5
12142,22,59,135
12143,0,0,0
12144,109,180,146
12145,23,19,15
12151,120,134,163
12153,389,494,456
12154,0,0,0
12155,5,0,1
12156,178,153,125
12159,112,132,179
12160,3,0,0
12161,58,51,37
12162,53,59,102
12163,0,0,0
12164,311,459,445
12165,0,0,0
12166,677,743,682
12167,10,21,7
12168,611,737,546
12169,0,0,1
12173,2,0,7
12175,301,548,488
12176,58,94,74
12177,228,273,253
12180,1,2,1
12181,78,67,57
12182,1,1,1
12183,145,121,135
12189,141,206,167
12190,230,218,190
12192,448,345,412
12193,84,111,92
12209,0,0,0
12211,1345,1608,1632
12212,711,643,659
12215,227,335,236
12217,39,32,35
12223,3,4,2
12224,23,19,9
12226,351,572,388
12227,30,4,21
12228,65,71,54
12229,13,0,3
12231,1,4,1
12234,224,191,213
12235,118,187,203
12236,173,164,199
12237,219,241,247
12238,147,161,141
12257,13,2,11
12258,56,67,84
12259,6,1,2
12260,43,17,13
12261,211,205,163
12262,23,14,8
12263,0,1,2
12265,13,34,18
12266,7,1,1
12267,63,26,15
12268,14,22,20
12269,0,0,1
12273,6,7,2
12274,4,0,2
12279,0,0,0
12282,382,311,274
12283,157,153,225
12286,11,21,15
12287,7,0,8
12288,631,616,574
12289,137,124,107
12290,100,94,57
12291,1009,716,861
12292,0,0,0
12293,595,441,363
12294,22,47,55
12295,47,52,62
12296,29,37,23
12297,185,159,154
12298,21,18,10
12299,2,0,1
12300,0,0,0
12301,112,172,110
12304,271,247,323
12305,39,28,42
12306,865,777,796
12307,0,0,0
12308,0,0,0
12309,4,0,2
12310,0,0,0
12311,0,0,0
12313,970,759,822
12314,650,665,818
12315,350,241,262
12316,377,448,416
12317,983,1432,936
12319,5,14,4
12321,1213,1140,1217
12322,27,38,25
12323,7,6,7
12325,112,167,129
12326,924,1037,1010
12328,55,78,60
12330,861,1005,960
12331,295,248,291
12332,21,16,17
12333,26,2,21
12334,332,388,310
12335,3,3,4
12336,623,543,550
12337,22,16,24
12338,953,1114,1053
12339,264,298,278
12340,320,422,452
12343,252,210,299
12344,0,0,1
12345,399,370,355
12346,0,0,0
12348,20,11,10
12349,8,23,30
12350,0,0,0
12351,0,0,0
12352,259,268,268
12353,0,0,0
12354,0,0,1
12355,41,12,23
12359,323,415,269
12361,530,584,570
12362,6,0,4
12363,3,0,2
12364,3,2,3
12365,0,0,1
12366,178,186,248
12367,36,82,42
12368,35,17,37
12369,57,71,58
12370,147,131,64
12371,85,37,46
12372,3,4,5
12373,2,0,0
12374,0,0,0
12380,74,79,71
12385,468,623,600
12386,31,35,23
12387,1517,1568,2163
12388,956,878,937
12389,207,247,190
12390,23,12,17
12391,0,0,3
12393,819,609,419
12394,589,681,876
12395,347,382,524
12396,301,384,283
12398,15,11,13
12399,102,164,138
12400,484,450,499
12401,0,0,1
12402,263,251,311
12404,0,0,0
12405,0,0,0
12406,708,684,573
12408,41,94,60
12409,10,3,1
12411,1,8,5
12412,201,302,298
12416,148,89,114
12417,882,1315,1070
12418,52,38,48
12419,1771,1660,1765
12421,261,383,306
12424,0,0,0
12425,10,20,16
12426,2,0,0
12427,0,6,0
12428,440,450,586
12442,152,148,141
12443,179,184,207
12444,878,873,933
12445,474,350,458
12447,43,82,77
12448,81,98,84
12449,97,100,98
12450,160,166,148
12452,50,102,87
12453,551,388,412
12454,211,212,152
12455,117,180,194
12457,70,52,37
12458,0,0,0
12460,30,54,50
12461,580,706,564
12462,324,555,297
12464,322,404,354
12465,477,588,561
12466,426,612,590
12467,0,3,0
12468,401,701,435
12469,337,531,531
12475,1,2,1
12476,77,48,72
12477,0,0,0
12478,0,0,0
12479,35,58,55
12480,12,26,26
12481,0,0,1
12482,0,0,0
12483,161,211,154
12484,384,421,385
12487,0,0,0
12488,282,305,374
12489,361,413,379
12490,232,140,288
12491,2,2,5
12492,29,21,40
12493,6,6,10
12494,227,276,237
12495,178,150,101
12496,3,0,1
12497,52,22,46
12499,39,32,45
12500,97,106,81
12501,0,0,0
12502,0,0,0
12503,66,92,83
12504,13,1,4
12505,303,316,446
12506,9,6,2
12507,1,2,0
12508,14,5,5
12509,50,51,39
12511,0,0,0
12512,234,302,411
12514,45,35,29
12515,0,0,0
12516,0,0,0
12517,40,40,19
12518,0,2,4
12519,2,3,0
12520,642,521,974
12521,20,21,26
12522,1,0,3
12523,96,92,95
12524,4,4,1
12525,7,8,4
12526,64,62,64
12527,28,22,96
12530,109,153,120
12531,55,89,74
12532,62,105,95
12534,144,138,170
12537,239,298,234
12539,152,225,160
12540,792,612,781
12544,78,58,65
12545,116,164,157
12549,398,349,322
12550,17,25,42
12552,3514,4314,4399
12554,36,45,37
12555,1,9,2
12556,0,0,0
12557,0,0,0
12558,418,504,374
12560,36,13,20
12561,3,5,2
12562,430,303,326
12563,58,56,43
12564,17,14,18
12565,0,0,0
12566,122,76,134
12567,533,413,636
12568,38,40,87
12569,8,6,9
12570,0,0,1
12571,48,70,56
12572,697,710,794
12575,27,21,38
12576,94,69,85
12577,1275,1242,1000
12578,0,0,0
12579,4,12,0
12580,4,7,14
12581,78,85,89
12583,320,372,392
12585,124,86,94
12587,3,0,2
12589,138,175,158
12590,0,0,1
12591,0,0,0
12592,0,0,0
12593,48,50,64
12606,37,10,9
12607,157,199,198
12608,1,2,2
12609,66,30,52
12611,114,168,235
12613,1,0,1
12614,14,25,22
12615,158,166,175
12616,94,70,98
12617,162,183,211
12622,70,116,70
12623,0,0,0
12626,149,223,231
12627,0,0,0
12628,3,4,3
12630,0,0,0
12631,618,399,474
12632,75,121,133
12633,975,1047,1112
12638,2,0,2
12640,0,0,0
12642,5,6,2
12643,2,1,0
12647,34,34,26
12648,329,481,409
12649,77,118,115
12651,75,108,100
12652,0,0,0
12653,1,0,0
12654,0,0,0
12655,0,0,0
12659,1,9,9
12660,755,782,923
12661,13,11,24
12662,131,136,139
12663,47,26,41
12667,14,5,15
12669,18,6,9
12671,0,1,0
12672,29,29,19
12675,103,143,141
12677,0,0,0
12683,0,0,0
12684,14,12,6
12686,0,0,0
12695,57,93,79
12696,45,31,50
12700,24,24,37
12702,19,19,21
12703,7,2,12
12704,69,96,79
12705,0,0,0
12709,19,12,12
12715,1,0,0
12716,7,14,6
12721,48,16,19
12722,21,39,31
12723,3,3,3
12724,119,125,126
12725,65,56,76
12727,78,115,97
12728,57,60,74
12729,165,283,252
12733,0,0,2
12737,46,35,27
12738,0,0,0
12739,1,0,0
12740,0,0,0
12741,28,9,12
12745,0,3,0
12747,441,656,1017
12748,217,310,220
12750,260,372,367
12751,110,93,108
12752,24,30,25
12753,174,191,230
12757,310,358,229
12759,20,15,18
12763,990,1008,932
12764,81,119,83
12765,883,827,1082
12766,0,0,0
12767,10,5,7
12768,5,3,5
12769,10,9,11
12770,0,0,0
12771,0,0,0
12772,23,34,11
12773,37,38,35
12774,13,15,1
12775,1,1,0
12776,0,0,0
12777,1,0,0
12778,53,21,18
12780,2,6,3
12785,1079,1317,1174
12788,0,0,0
12789,0,0,0
12790,23,21,15
12793,143,169,198
12794,36,19,11
12795,3,4,7
12796,1,1,0
12797,0,8,6
12798,511,478,353
12799,46,59,46
12801,17,23,9
12802,209,209,271
12803,5,2,4
12804,21,11,11
12805,14,10,7
12807,578,690,595
12808,78,77,66
12810,16,26,16
12812,27,42,25
12813,23,22,26
12814,1253,1104,700
12815,7,4,3
12816,1799,812,569
12817,6,3,15
12818,415,503,373
12819,133,118,125
12821,29,23,70
12822,83,65,80
12823,1,0,4
12824,261,237,102
12825,4784,4674,7211
12826,1342,1013,1105
12827,1247,983,865
12828,1,1,1
12829,5,0,0
12830,23,20,23
12831,1471,1043,1082
12832,981,783,901
12833,1051,811,1110
12834,1225,1023,1308
12836,71,127,220
12837,1362,3057,1503
12839,14,5,7
12840,177,126,97
12841,197,153,43
12842,3355,2632,2519
12843,4361,4680,4481
12845,12,2,4
12846,331,260,329
12847,1327,1048,1190
12848,215,275,281
12850,34,54,23
12854,12,7,5
12856,19,38,24
12857,269,296,372
12858,110,104,85
12859,227,304,214
12861,372,216,209
12862,0,0,0
12864,160,221,115
12865,3,0,3
12866,141,137,97
12867,295,275,306
12868,210,172,145
12869,0,0,0
12870,20,13,8
12873,0,8,8
12874,341,260,329
12876,70,77,45
12877,0,3,1
12879,11,48,8
12889,0,0,2
12890,1410,1453,1197
12891,0,0,0
12892,133,200,221
12894,101,53,68
12895,0,5,5
12896,52,36,48
12902,33,24,14
12903,145,323,473
12904,122,295,287
12905,17,13,12
12908,159,119,109
12909,39,61,36
12912,230,306,338
12913,85,87,57
12914,1092,1110,941
12915,59,65,79
12916,37,44,36
12918,0,0,0
12919,0,0,0
12921,0,0,0
12922,0,0,1
12925,41,13,20
12927,99,46,76
12928,328,353,425
12929,217,179,228
12931,161,111,135
12933,46,32,49
12934,783,458,771
12936,0,0,0
12937,2,4,4
12939,3,5,0
12941,6,3,3
12942,0,4,9
12943,0,3,3
12944,84,128,113
12945,0,0,0
12946,90,179,150
12950,150,96,81
12951,62,63,48
12952,74,55,76
12953,176,196,153
12954,59,0,0
12955,64,38,17
12957,29,6,8
12958,18,0,5
12959,2,0,0
12960,7,0,0
12961,0,0,0
12962,8,0,0
12964,13,0,0
12965,10,0,0
12966,8,0,0
12967,12,0,0
12968,12,0,0
12969,9,0,0
12970,0,0,0
12971,0,0,1
12972,80,45,69
12974,479,555,546
12977,169,169,103
12978,91,45,26
12981,0,0,0
12982,46,40,22
12983,137,106,159
12984,82,66,92
12985,0,0,0
12986,473,418,505
12988,73,71,71
12990,0,0,0
12991,0,0,0
12992,0,0,0
12993,0,0,0
12994,0,0,0
12995,361,387,367
13000,168,188,203
13001,125,81,135
13002,233,289,237
13003,4950,6572,5428
13004,297,331,387
13006,413,902,646
13007,290,246,144
13008,308,421,339
13009,1,0,0
13010,157,220,181
13011,3,0,2
13012,0,0,0
13013,0,0,0
13014,117,131,114
13016,125,213,128
13017,172,220,212
13018,241,322,350
13019,31,26,15
13024,193,196,189
13025,8,9,10
13026,136,135,162
13030,546,360,458
13032,66,47,36
13033,390,215,302
13034,435,463,390
13035,0,0,0
13036,15,9,7
13038,23,22,38
13039,191,208,163
13040,40,8,2
13041,8,16,8
13043,243,221,250
13046,225,182,211
13047,275,217,304
13048,26,13,10
13051,92,48,39
13052,73,106,97
13056,8,2,5
13057,47,34,28
13058,29,7,12
13063,386,470,539
13067,0,4,0
13070,1,0,0
13072,0,0,0
13074,0,1,1
13075,2,0,5
13076,0,0,1
13077,0,0,0
13078,2,0,1
13079,0,0,0
13081,0,0,0
13082,0,0,1
13085,0,0,0
13086,0,0,0
13087,0,0,0
13088,0,0,0
13089,0,0,0
13090,0,0,0
13094,0,0,0
13095,0,0,0
13096,0,0,0
13097,0,0,0
13098,0,0,0
13099,0,0,0
13101,1,1,0
13105,5,1,2
13106,577,554,742
13107,8,0,1
13108,0,0,0
13109,0,1,2
13110,33,21,48
13112,0,0,0
13113,0,0,0
13114,0,0,0
13115,0,0,1
13116,25,15,15
13117,0,0,0
13118,0,0,0
13119,0,0,0
13120,0,1,6
13121,165,206,162
13122,1,3,0
13123,50,30,34
13124,1,0,0
13131,3,16,22
13132,1140,987,771
13134,10,1,9
13135,161,137,131
13136,10,7,9
13137,1,0,1
13138,294,186,264
13139,75,73,79
13142,0,0,0
13143,4,1,0
13144,32,24,21
13162,0,1,2
13163,60,80,61
13164,0,1,0
13166,0,0,0
13167,121,80,112
13168,0,2,0
13169,148,140,141
13170,12,14,11
13171,265,250,230
13172,0,0,0
13175,379,378,313
13176,426,428,348
13177,58,64,81
13178,72,91,103
13179,501,577,545
13180,6,3,5
13184,0,0,0
13185,39,37,61
13190,0,0,1
13191,132,124,100
13193,83,107,92
13194,942,913,889
13195,2,2,1
13196,441,418,389
13197,5,8,7
13198,85,77,85
13199,0,0,0
13200,269,316,292
13202,33,40,34
13204,549,582,625
13205,667,1163,1063
13206,0,0,1
13207,1130,1770,2089
13209,870,877,963
13211,560,613,638
13214,0,0,0
13215,0,0,0
13218,0,0,0
13226,0,0,0
13236,0,0,0
13237,0,0,0
13239,0,0,0
13244,166,207,167
13340,16,20,14
13345,73,23,46
13346,8,5,5
13347,52,66,59
13349,51,61,77
13350,73,135,185
13353,50,67,48
13356,178,172,186
13358,37,50,57
13360,55,63,66
13361,63,124,93
13363,0,0,0
13367,91,62,92
13368,29,48,38
13370,0,0,0
13371,6,13,11
13380,72,122,97
13382,142,212,277
13383,250,257,365
13384,17,15,14
13385,180,140,152
13386,390,183,155
13388,2,2,3
13389,1,0,2
13390,4,1,2
13392,0,0,0
13393,6,11,6
13394,0,0,0
13395,15,17,6
13396,2,1,0
13397,0,0,0
13400,73,43,57
13401,125,91,99
13404,4,0,3
13405,162,191,119
13406,1,0,1
13409,4,12,8
13411,84,105,64
13417,24,19,13
13418,365,419,402
13419,87,55,70
13421,15,6,9
13423,432,477,474
13424,1159,1444,1131
13426,6,3,8
13427,317,360,326
13429,756,755,670
13430,210,274,252
13433,506,596,472
13434,38,46,31
13435,1073,1104,1080
13436,24,30,36
13437,101,73,80
13445,1098,842,727
13446,153,81,80
13447,36,37,36
13448,3,2,2
13449,29,10,4
13476,199,224,180
13478,117,81,104
13479,4,8,1
13480,21,24,22
13481,66,55,59
13482,68,51,76
13483,21,20,22
13486,59,60,75
13487,0,0,0
13488,5,1,6
13489,0,0,0
13490,0,0,0
13491,9,5,4
13492,0,0,0
13494,147,162,177
13495,98,85,102
13496,38,35,29
13497,125,101,121
13498,373,319,256
13505,0,0,0
13506,5,13,59
13507,1,5,23
13508,0,0,0
13510,2,0,0
13511,22,23,45
13512,79,113,96
13516,0,0,0
13518,1246,1967,1919
13521,62,42,57
13522,572,584,669
13524,0,0,0
13525,0,0,0
13526,0,0,0
13527,49,33,59
13528,166,129,113
13529,0,0,0
13531,47,73,42
13532,0,0,0
13537,22,13,13
13542,76,60,47
13543,254,242,236
13544,373,412,296
13548,344,416,381
13549,45,28,30
13555,1222,1700,1261
13557,153,140,167
13559,79,61,104
13560,87,120,83
13586,0,0,0
13587,0,0,0
13589,1487,1732,1676
13590,0,0,0
13591,68,30,54
13592,3,0,8
13593,216,232,214
13595,13,12,13
13599,0,0,0
13601,20,11,9
13602,331,334,218
13603,3,8,3
13605,81,93,108
13607,132,53,94
13608,1,0,1
13609,59,39,36
13610,1043,1138,901
13611,136,143,145
13612,86,53,55
13614,1,0,1
13615,8,0,0
13616,35,48,26
13617,1324,1764,1514
13618,34,43,37
13619,350,348,290
13626,105,166,144
13627,8943,10783,9144
13628,0,0,0
13629,2921,2905,2464
13631,53,60,46
13636,46,45,39
13637,30,31,55
13638,6,0,1
13639,80,90,76
13640,253,222,272
13641,271,182,157
13642,308,329,334
13643,142,91,107
13644,114,95,75
13645,15,26,16
13646,0,0,0
13648,0,0,0
13649,19,23,35
13650,53,42,37
13653,25,13,7
13654,14,0,2
13655,2,2,2
13656,0,0,0
13660,100,64,85
13661,14,19,3
13663,141,194,173
13664,145,282,250
13665,210,314,248
13666,53,44,53
13667,45,54,42
13669,1288,2058,1463
13680,261,270,155
13681,856,1073,943
13682,742,1277,1615
13684,290,292,333
13685,34,18,37
13688,322,243,206
13690,3987,4060,3622
13706,0,0,0
13709,214,222,211
13710,4,0,4
13711,10,1,1
13712,170,148,178
13713,284,252,281
13714,345,355,324
13716,55,77,45
13717,1214,820,505
13722,42,106,102
13723,41,24,23
13726,185,261,162
13728,150,148,135
13730,529,564,659
13731,497,487,382
13732,66,48,51
13733,6,11,12
13796,0,0,0
13797,1,2,0
13798,0,0,2
13799,5,0,1
13800,202,262,221
13801,0,0,0
13803,348,343,254
13804,68,72,38
13805,128,72,70
13806,67,60,86
13807,40,67,58
13808,8,7,21
13809,67,61,47
13813,51,59,36
13819,290,175,212
13821,291,170,195
13822,769,1153,768
